Event type;Event subtype;Expected message;Received message;Sent from;Got from;Passed
Config;quota_limit;Config, quota_limit;;+37060789118;;False
Config;gps;Config, global positioning system;Config, global positioning system;+37060789118;+37060789118;True
Config;blesem;Config, blesem (bluetooth);Config, blesem (bluetooth);+37060789118;+37060789118;True
Config;ioman;Config, ioman (I/O settings);Config, ioman (I/O settings);+37060789118;+37060789118;True
Config;wireless;Config, wireless;Config, wireless;+37060789118;+37060789118;True
Config;hostblock;Config, hostblock;Config, hostblock;+37060789118;+37060789118;True
Config;privoxy;Config, privoxy;Config, privoxy;+37060789118;+37060789118;True
Config;vrrpd;Config, vrrpd;Config, vrrpd;+37060789118;+37060789118;True
Config;avl;Config, avl;Config, avl;+37060789118;+37060789118;True
Config;ble_devices;Config, ble_devices;Config, ble_devices;+37060789118;+37060789118;True
Config;buttons;Config, buttons;Config, buttons;+37060789118;+37060789118;True
Config;call_utils;Config, call_utils;Config, call_utils;+37060789118;+37060789118;True
Config;cli;Config, cli;Config, cli;+37060789118;+37060789118;True
Config;dmvpn;Config, dmvpn;Config, dmvpn;+37060789118;+37060789118;True
Config;email_to_sms;Config, email_to_sms;Config, email_to_sms;+37060789118;+37060789118;True
Config;frr;Config, frr;Config, frr;+37060789118;+37060789118;True
Config;fstab;Config, fstab;Config, fstab;+37060789118;+37060789118;True
Config;iojuggler;Config, iojuggler;Config, iojuggler;+37060789118;+37060789118;True
Config;ip_blockd;Config, ip_blockd;Config, ip_blockd;+37060789118;+37060789118;True
Config;landingpage;Config, landingpage;Config, landingpage;+37060789118;+37060789118;True
Config;modbus;Config, modbus;Config, modbus;+37060789118;+37060789118;True
Config;modbus_master;Config, modbus_master;Config, modbus_master;+37060789118;+37060789118;True
Config;modbusgateway;Config, modbusgateway;Config, modbusgateway;+37060789118;+37060789118;True
Config;multi_wifi;Config, multi_wifi;Config, multi_wifi;+37060789118;+37060789118;True
Config;mwan3;Config, mwan3;Config, mwan3;+37060789118;+37060789118;True
Config;ntpclient;Config, ntpclient;Config, ntpclient;+37060789118;+37060789118;True
Config;ntpserver;Config, ntpserver;Config, ntpserver;+37060789118;+37060789118;True
Config;operctl;Config, operctl;Config, operctl;+37060789118;+37060789118;True
Config;overview;Config, overview;Config, overview;+37060789118;+37060789118;True
Config;p910nd;Config, p910nd;Config, p910nd;+37060789118;+37060789118;True
Config;post_get;Config, post_get;Config, post_get;+37060789118;+37060789118;True
Config;pptpd;Config, pptpd;Config, pptpd;+37060789118;+37060789118;True
Config;profiles;Config, profiles;Config, profiles;+37060789118;+37060789118;True
Config;rms_mqtt;Config, rms_mqtt;Config, rms_mqtt;+37060789118;+37060789118;True
Config;rpcd;Config, rpcd;Config, rpcd;+37060789118;+37060789118;True
Config;rs_console;Config, rs_console;Config, rs_console;+37060789118;+37060789118;True
Config;rs_modbus;Config, rs_modbus;Config, rs_modbus;+37060789118;+37060789118;True
Config;rs_modem;Config, rs_modem;Config, rs_modem;+37060789118;+37060789118;True
Config;rs_overip;Config, rs_overip;Config, rs_overip;+37060789118;+37060789118;True
Config;rut_fota;Config, rut_fota;Config, rut_fota;+37060789118;+37060789118;True
Config;sim_switch;Config, sim_switch;Config, sim_switch;+37060789118;+37060789118;True
Config;sms_gateway;Config, sms_gateway;Config, sms_gateway;+37060789118;+37060789118;True
Config;sms_utils;Config, sms_utils;Config, sms_utils;+37060789118;+37060789118;True
Config;snmptrap;Config, snmptrap;Config, snmptrap;+37060789118;+37060789118;True
Config;stunnel;Config, stunnel;Config, stunnel;+37060789118;+37060789118;True
Config;system;Config, system;Config, system;+37060789118;+37060789118;True
Config;telnetd;Config, telnetd;Config, telnetd;+37060789118;+37060789118;True
Config;uhttpd;Config, uhttpd;Config, telnetd;+37060789118;+37060789118;False
Config;upnpd;Config, upnpd;Config, upnpd;+37060789118;+37060789118;True
Config;wifi_scanner;Config, wifi_scanner;Config, wifi_scanner;+37060789118;+37060789118;True
Config;xl2tpd;Config, xl2tpd;Config, xl2tpd;+37060789118;+37060789118;True
WiFi;all;WiFi, all;WiFi, all;+37060789118;+37060789118;True
WiFi;client connected;WiFi, client connected;WiFi, all;+37060789118;+37060789118;False
WiFi;client disconnected;WiFi, client disconnected;WiFi, all;+37060789118;+37060789118;False
SSH;all;SSH, all;SSH, all;+37060789118;+37060789118;True
SSH;succeeded;SSH, succeeded;SSH, succeeded;+37060789118;+37060789118;True
SSH;bad;SSH, bad;SSH, bad;+37060789118;+37060789118;True
